,Unnamed: 0,상가업소번호,상권업종대분류명,상권업종중분류명,상권업종소분류명,지번주소,도로명주소,위도,경도
6786,234258,20295231,소매,종합소매점,편의점,서울특별시 강북구 수유동 359-14,서울특별시 강북구 인수봉로68길 37,37.64124266,127.0134431
6787,234267,24550102,소매,종합소매점,편의점,서울특별시 용산구 남영동 3-1,서울특별시 용산구 두텁바위로 12,37.54512944,126.9733612
6788,234287,24816446,소매,종합소매점,편의점,서울특별시 성북구 하월곡동 228-1,서울특별시 성북구 오패산로16가길 76,37.61146895,127.0381205
6789,234292,20255212,소매,종합소매점,편의점,서울특별시 송파구 석촌동 158-2,서울특별시 송파구 석촌호수로 220,37.5069768,127.1013321
6790,234338,23515715,소매,종합소매점,편의점,서울특별시 서초구 서초동 1426-13,서울특별시 서초구 남부순환로 2451,37.48259332,127.0185632
6791,234397,28452450,소매,종합소매점,편의점,서울특별시 종로구 계동 142-1,서울특별시 종로구 계동길 23,37.57839261,126.9865356
6792,234431,23845827,소매,종합소매점,편의점,서울특별시 중구 정동 15-5,서울특별시 중구 정동길 21-15,37.56784081,126.9708422
6793,234458,5766107,소매,종합소매점,편의점,서울특별시 중구 충무로2가 53-9,서울특별시 중구 삼일대로 300,37.56149455,126.9892773
6794,234540,16097838,소매,종합소매점,편의점,서울특별시 강동구 천호동 334-10,서울특별시 강동구 구천면로17길 32,37.54298094,127.123838
6795,234544,16325232,소매,종합소매점,편의점,서울특별시 강서구 화곡동 786-7,서울특별시 강서구 국회대로7길 6,37.5299223,126.8606447
6796,234704,15870232,소매,종합소매점,편의점,서울특별시 도봉구 쌍문동 732,서울특별시 도봉구 우이천로 367,37.64787241,127.0240528
6797,234813,8755502,소매,종합소매점,편의점,서울특별시 성동구 사근동 110,서울특별시 성동구 왕십리로 222-1,37.55865647,127.0456022
6798,234829,24031382,소매,종합소매점,편의점,서울특별시 서대문구 창천동 52-76,서울특별시 서대문구 연세로7안길 31,37.55803534,126.9350415
6799,234836,22850741,소매,종합소매점,편의점,서울특별시 마포구 성산동 595,서울특별시 마포구 월드컵로 205,37.5650714,126.9014928
6800,234934,20293483,소매,종합소매점,편의점,서울특별시 송파구 송파동 139,서울특별시 송파구 가락로31길 33,37.50875988,127.1131194
