,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
1056,B000008357,대왕중학교,중학교,서울특별시 강남구 수서동 750,서울특별시 강남구 광평로20길 7,37.48346033,127.0873381
1057,B000008288,신명중학교,중학교,서울특별시 강동구 길동 42,서울특별시 강동구 명일로24길 25,37.54181449,127.1492919
1062,B000008392,숭의여자중학교,중학교,서울특별시 동작구 대방동 20-114,서울특별시 동작구 여의대방로36길 79,37.50736414,126.9292433
1065,B000008191,북서울중학교,중학교,서울특별시 도봉구 도봉동 585,서울특별시 도봉구 도봉로169가길 33,37.68154186,127.0428342
1066,B000008411,광희중학교,중학교,서울특별시 성동구 응봉동 193,서울특별시 성동구 독서당로62길 46,37.55115453,127.03398
1068,B000008282,강명중학교,중학교,서울특별시 강동구 강일동 737,서울특별시 강동구 상일로12길 56,37.55559343,127.1748967
1070,B000008251,오산중학교,중학교,서울특별시 용산구 보광동 168-4,서울특별시 용산구 보광로7길 17,37.52358051,127.0008872
1071,B000008299,한영중학교,중학교,서울특별시 강동구 상일동 166,서울특별시 강동구 동남로 832,37.54914056,127.1577731
1072,B000008121,연천중학교,중학교,서울특별시 은평구 불광동 441-1,서울특별시 은평구 연서로41길 30,37.62754521,126.9258198
1073,B000008197,신도봉중학교,중학교,서울특별시 도봉구 쌍문동 94-1,서울특별시 도봉구 도봉로115길 16,37.64959473,127.0332017
1075,B000008150,아현중학교,중학교,서울특별시 마포구 아현동 267-1,서울특별시 마포구 마포대로 247,37.55640071,126.9565
1078,B000008114,구산중학교,중학교,서울특별시 은평구 구산동 182-45,서울특별시 은평구 갈현로15길 20-23,37.60987202,126.9094887
1081,B000008146,성사중학교,중학교,서울특별시 마포구 성산동 124,서울특별시 마포구 모래내로9길 16,37.5680911,126.912683
1083,B000008199,노곡중학교,중학교,서울특별시 도봉구 창동 32,서울특별시 도봉구 노해로70길 95,37.64880251,127.0537437
1093,B000008137,인왕중학교,중학교,서울특별시 서대문구 홍제동 9-27,서울특별시 서대문구 세검정로4길 69,37.59273522,126.9517793
1095,B000008433,길음중학교,중학교,서울특별시 성북구 길음동 635-7,서울특별시 성북구 길음로 144,37.61409036,127.0174557
1099,B000008192,도봉중학교,중학교,서울특별시 도봉구 도봉동 622-40,서울특별시 도봉구 마들로 671,37.67088384,127.0458717
1107,B000008148,성서중학교,중학교,서울특별시 마포구 성산동 588-9,서울특별시 마포구 성산로4길 42,37.5627873,126.9079522
1111,B000008431,대원국제중학교,중학교,서울특별시 광진구 중곡동 176-124,서울특별시 광진구 용마산로22길 26,37.56249279,127.0894181
1114,B000008162,오남중학교,중학교,서울특별시 구로구 오류동 산39-40,서울특별시 구로구 오리로9길 25,37.48705969,126.837249
1119,B000008115,증산중학교,중학교,서울특별시 은평구 증산동 산24-4,서울특별시 은평구 증산로5길 27-30,37.58381539,126.9049399
1120,B000008300,목운중학교,중학교,서울특별시 양천구 목동 922,서울특별시 양천구 목동동로 235,37.52700952,126.8730442
1126,B000008458,화계중학교,중학교,서울특별시 강북구 수유동 491-28,서울특별시 강북구 화계사길 63,37.63251806,127.0097091
1127,B000008141,중앙여자중학교,중학교,서울특별시 서대문구 북아현동 190-1,서울특별시 서대문구 북아현로11가길 7,37.56317672,126.9540593
1136,B000008325,공항중학교,중학교,서울특별시 강서구 공항동 12-3,서울특별시 강서구 방화대로 241,37.56217751,126.8149668
1139,B000022787,영동중학교,중학교,서울특별시 서초구 우면동 680,서울특별시 서초구 성촌길 14,37.46598629,127.0251407
1147,B000027170,마곡하늬중학교,중학교,서울특별시 강서구 마곡동 749,서울특별시 강서구 마곡서1로 16,37.55812766,126.8209848
1149,B000008208,공릉중학교,중학교,서울특별시 노원구 공릉동 250,서울특별시 노원구 노원로1길 42,37.62222778,127.0836019
1154,B000008291,신암중학교,중학교,서울특별시 강동구 암사동 444,서울특별시 강동구 고덕로 65,37.55636169,127.1336043
1155,B000008404,미성중학교,중학교,서울특별시 관악구 신림동 745-24,서울특별시 관악구 문성로16길 40,37.47538281,126.9120889
1159,B000008284,둔촌중학교,중학교,서울특별시 강동구 둔촌동 19-1,서울특별시 강동구 진황도로61길 25-30,37.53083609,127.1463317
1161,B000008394,봉림중학교,중학교,서울특별시 관악구 봉천동 1531-38,서울특별시 관악구 장군봉길 72,37.48119817,126.9377027
1162,B000008102,중화중학교,중학교,서울특별시 중랑구 면목동 83,서울특별시 중랑구 용마산로 364,37.58450379,127.0945608
1166,B000008415,마장중학교,중학교,서울특별시 성동구 마장동 766-49,서울특별시 성동구 마장로35나길 31,37.56830949,127.042128
1170,B000008447,동구여자중학교,중학교,서울특별시 성북구 성북동 168-275,서울특별시 성북구 성북로8길 71,37.5941935,127.0082153
1173,B000008185,영남중학교,중학교,서울특별시 영등포구 대림동 735,서울특별시 영등포구 대림로31나길 17,37.49787218,126.8958365
1174,B000008186,대림중학교,중학교,서울특별시 영등포구 대림동 959,서울특별시 영등포구 시흥대로185길 6,37.49231887,126.9074673
1176,B000008195,창동중학교,중학교,서울특별시 도봉구 방학동 722-27,서울특별시 도봉구 방학로 32,37.66322957,127.0489975
1182,B000008334,마포중학교,중학교,서울특별시 강서구 등촌동 82-1,서울특별시 강서구 화곡로 403,37.55998867,126.8531334
1193,B000008232,대신중학교,중학교,서울특별시 종로구 행촌동 171-1,서울특별시 종로구 사직로 9,37.57310947,126.9612545
1195,B000008196,백운중학교,중학교,서울특별시 도봉구 쌍문동 68-2,서울특별시 도봉구 도봉로129길 50,37.65640592,127.0359041
1196,B000008111,송곡여자중학교,중학교,서울특별시 중랑구 망우동 252-1,서울특별시 중랑구 양원역로 67,37.60668904,127.1051455
1198,B000008216,녹천중학교,중학교,서울특별시 노원구 월계동 321-7,서울특별시 노원구 월계로 376,37.63108361,127.0617375
1199,B000008301,양동중학교,중학교,서울특별시 양천구 목동 600-6,서울특별시 양천구 목동중앙북로 49,37.54836875,126.8687172
1201,B000008463,영훈국제중학교,중학교,서울특별시 강북구 미아동 471-2,서울특별시 강북구 도봉로13가길 19,37.61468187,127.0280933
1202,B000008135,서연중학교,중학교,서울특별시 서대문구 연희동 267-1,서울특별시 서대문구 연희로11마길 9-6,37.56822527,126.9273336
1204,B000008089,동대문중학교,중학교,서울특별시 동대문구 전농동 322-17,서울특별시 동대문구 사가정로 59,37.57452207,127.0519943
1206,B000008457,수유중학교,중학교,서울특별시 강북구 수유동 491-61,서울특별시 강북구 인수봉로37길 40,37.6315652,127.0104838
1212,B000008344,신반포중학교,중학교,서울특별시 서초구 반포동 3-1,서울특별시 서초구 신반포로19길 26,37.50626532,126.9961146
1213,B000026209,한울중학교,중학교,서울특별시 금천구 시흥동 792-1,서울특별시 금천구 독산로50길 60,37.46240099,126.9071815
1215,B000008202,정의여자중학교,중학교,서울특별시 도봉구 쌍문동 150-1,서울특별시 도봉구 노해로49길 69,37.65335584,127.0324273
1218,B000008213,노원중학교,중학교,서울특별시 노원구 상계동 743,서울특별시 노원구 동일로213길 26,37.64936114,127.059692
1227,B000008286,고덕중학교,중학교,서울특별시 강동구 고덕동 223,서울특별시 강동구 동남로82길 94,37.56036661,127.1616435
1232,B000008294,동신중학교,중학교,서울특별시 강동구 천호동 447-9,서울특별시 강동구 진황도로 72,37.53676952,127.1343666
1233,B000008151,중암중학교,중학교,서울특별시 마포구 중동 63,서울특별시 마포구 월드컵북로38길 25,37.57243177,126.9035851
1235,B000008296,동북중학교,중학교,서울특별시 강동구 둔촌동 180-2,서울특별시 강동구 강동대로 305,37.52024061,127.1394507
1239,B000008229,재현중학교,중학교,서울특별시 노원구 중계동 129-2,서울특별시 노원구 덕릉로82길 64,37.66126447,127.0807998
1240,B000008168,영림중학교,중학교,서울특별시 구로구 구로동 105-2,서울특별시 구로구 가마산로27길 17,37.49721962,126.8906895
1243,B000008331,염경중학교,중학교,서울특별시 강서구 염창동 79-8,서울특별시 강서구 양천로69길 35,37.55453781,126.8705292
1247,B000008449,성신여자중학교,중학교,서울특별시 성북구 돈암동 산11-269,서울특별시 성북구 북악산로 918,37.59462313,127.0231285
1249,B000008171,시흥중학교,중학교,서울특별시 금천구 시흥동 산24-15,서울특별시 금천구 시흥대로38길 60,37.44629507,126.9050823
1254,B000008189,윤중중학교,중학교,서울특별시 영등포구 여의도동 38-2,서울특별시 영등포구 여의동로3길 3,37.51897848,126.9241232
1258,B000008356,신사중학교,중학교,서울특별시 강남구 압구정동 410,서울특별시 강남구 압구정로 123,37.52469784,127.0211914
1259,B000008246,장충중학교,중학교,서울특별시 중구 신당동 432-460,서울특별시 중구 동호로15길 93,37.5535149,127.006415
1260,B000008289,한산중학교,중학교,서울특별시 강동구 둔촌동 161-1,서울특별시 강동구 풍성로 251,37.52890274,127.1403034
1267,B000008306,신화중학교,중학교,서울특별시 양천구 신월동 17-7,서울특별시 양천구 남부순환로29길 35,37.54082326,126.8298965
1272,B000008132,연희중학교,중학교,서울특별시 서대문구 남가좌동 368-1,서울특별시 서대문구 증가로 170,37.57958728,126.9187918
1275,B000008316,영도중학교,중학교,서울특별시 양천구 목동 735,서울특별시 양천구 목동중앙남로 27,37.53631557,126.8657711
1276,B000025623,신길중학교,중학교,서울특별시 영등포구 신길동 4948,서울특별시 영등포구 신길로28길 43,37.50201923,126.9156513
1277,B000025385,강빛중학교,중학교,서울특별시 강동구 강일동 121-3,서울특별시 강동구 아리수로93다길 1,37.57457281,127.172071
1278,B000008290,성내중학교,중학교,서울특별시 강동구 성내동 530,서울특별시 강동구 성안로7길 36,37.52906191,127.1291173
1279,B000008240,금호여자중학교,중학교,서울특별시 중구 신당동 36-235,서울특별시 중구 청구로 6,37.5580382,127.0204612
1282,B000008104,용마중학교,중학교,서울특별시 중랑구 면목동 378-2,서울특별시 중랑구 면목로28길 18,37.5745074,127.0862687
1287,B000008425,신양중학교,중학교,서울특별시 광진구 자양동 57-8,서울특별시 광진구 자양강변길 73,37.53365227,127.0634311
1295,B000027509,해누리중학교,중학교,서울특별시 송파구 가락동 479-1,서울특별시 송파구 송파대로37길 95,37.49841159,127.1021919
1298,B000008297,상일여자중학교,중학교,서울특별시 강동구 상일동 189,서울특별시 강동구 천호대로219길 61,37.54858748,127.1708235
1300,B000026884,내곡중학교,중학교,서울특별시 서초구 신원동 324,서울특별시 서초구 청계산로7길 9-20,37.45200325,127.0544446
