,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
956,B000002347,서울행당초등학교,초등학교,서울특별시 성동구 행당동 320-60,서울특별시 성동구 고산자로8길 6,37.55701913,127.0348734
958,B000002174,서울대명초등학교,초등학교,서울특별시 강동구 명일동 234,서울특별시 강동구 상암로 271,37.54766615,127.1532897
961,B000001923,서울안산초등학교,초등학교,서울특별시 서대문구 홍제동 44,서울특별시 서대문구 통일로 321,37.57916901,126.9522097
963,B000002111,서울후암초등학교,초등학교,서울특별시 용산구 후암동 30-138,서울특별시 용산구 두텁바위로 140,37.55136541,126.9817243
964,B000002379,서울양남초등학교,초등학교,서울특별시 광진구 자양동 692,서울특별시 광진구 뚝섬로64길 71,37.53112324,127.0892343
965,B000001926,경기초등학교,초등학교,서울특별시 서대문구 충정로2가 70-2,서울특별시 서대문구 경기대로9길 10,37.56511029,126.9628606
967,B000001922,서울홍연초등학교,초등학교,서울특별시 서대문구 홍은동 305,서울특별시 서대문구 백련사길 55,37.58211871,126.9306604
971,B000002305,서울신상도초등학교,초등학교,서울특별시 동작구 상도동 204-333,서울특별시 동작구 장승배기로 14,37.50034802,126.9446159
972,B000001853,서울홍릉초등학교,초등학교,서울특별시 동대문구 청량리동 206-44,서울특별시 동대문구 회기로 90,37.59068752,127.0477051
973,B000001995,서울영원초등학교,초등학교,서울특별시 영등포구 영등포동 647-2,서울특별시 영등포구 도영로 22길 31,37.51071936,126.9021825
975,B000002247,서울등명초등학교,초등학교,서울특별시 강서구 등촌동 690-2,서울특별시 강서구 강서로56나길 34,37.56089445,126.8423822
977,B000002050,서울태릉초등학교,초등학교,서울특별시 노원구 공릉동 250-5,서울특별시 노원구 노원로1길 36,37.6231024,127.0850589
981,B000002359,서울성수초등학교,초등학교,서울특별시 성동구 성수동2가 277-32,서울특별시 성동구 아차산로17길 21,37.54433609,127.0631674
982,B000002394,서울숭덕초등학교,초등학교,서울특별시 성북구 정릉동 173-1,서울특별시 성북구 정릉로 279,37.6038198,127.013291
985,B000001846,서울안평초등학교,초등학교,서울특별시 동대문구 장안동 353-1,서울특별시 동대문구 장한로14길 61,37.56596821,127.0720334
987,B000002130,서울문현초등학교,초등학교,서울특별시 송파구 장지동 836,서울특별시 송파구 충민로 137,37.48279092,127.1302223
988,B000002242,서울염동초등학교,초등학교,서울특별시 강서구 염창동 45-4,서울특별시 강서구 양천로73길 17,37.55209548,126.8723509
991,B000001936,서울서강초등학교,초등학교,서울특별시 마포구 상수동 1-1,서울특별시 마포구 독막로 113,37.54869715,126.9268512
992,B000002236,서울내발산초등학교,초등학교,서울특별시 강서구 내발산동 707,서울특별시 강서구 강서로46길 23,37.55088255,126.8381642
995,B000002042,서울덕암초등학교,초등학교,서울특별시 노원구 상계동 1274,서울특별시 노원구 덕릉로112길 68,37.6666212,127.0814598
