,주소,위도,경도,어린이집 평균거리
155,서울특별시 은평구 통일로 610,37.60197106,126.9358637,43.02779673823739
156,서울특별시 은평구 통일로 590,37.6001439,126.9370209,41.60823094421116
157,서울특별시 은평구 통일로 586-19,37.6000878,126.937924,39.33071908023964
158,서울특별시 은평구 통일로 1080,37.63923349,126.9175305,22.197962478013086
159,서울특별시 은평구 통일로 1034,37.63528526,126.9175985,24.568518795432908
160,서울특별시 은평구 진흥로 267,37.6115563,126.9385821,34.812012147230575
161,서울특별시 은평구 진관4로 87,37.6475351,126.9308402,29.57637560361033
162,서울특별시 은평구 진관4로 78-7,37.6499688,126.9328208,15.946470461934725
163,서울특별시 은평구 진관4로 78-38,37.64391623,126.9313598,28.155603755051832
164,서울특별시 은평구 진관4로 77,37.6482939,126.9293087,27.507147446612507
165,서울특별시 은평구 진관4로 48-8,37.6322759,126.9262676,41.39112721853549
166,서울특별시 은평구 진관4로 48-51,37.6484546,126.9291039,26.979311136467036
167,서울특별시 은평구 진관4로 48-50,37.6474864,126.927883,31.91092967974496
168,서울특별시 은평구 진관4로 48-17,37.648085,126.9286741,29.12078659228811
169,서울특별시 은평구 진관4로 47,37.6489181,126.9298087,24.65326960336881
170,서울특별시 은평구 진관4로 37,37.6466728,126.9265857,34.83411856962557
171,서울특별시 은평구 진관4로 17,37.6415577,126.9227727,32.543033431303115
172,서울특별시 은평구 진관4로 107,37.6354766,126.924494,32.52667459897338
173,서울특별시 은평구 진관4로 100,37.6506098,126.9355523,10.280989378394729
174,서울특별시 은평구 진관3로 77,37.6438336,126.9238442,35.67160561700631
175,서울특별시 은평구 진관3로 70,37.6411039,126.9219731,32.46724099383418
176,서울특별시 은평구 진관3로 67,37.6381577,126.9192866,28.81840784575117
177,서울특별시 은평구 진관3로 15-45,37.6425395,126.9171292,23.238506572951533
178,서울특별시 은평구 진관3로 15-35,37.6449549,126.9236501,35.647481398668624
179,서울특별시 은평구 진관2로 90,37.6333845,126.9272246,40.06997524066501
180,서울특별시 은평구 진관2로 77,37.6345812,126.9276171,34.798866219415224
181,서울특별시 은평구 진관2로 60,37.6318934,126.9198476,38.84898899768243
182,서울특별시 은평구 진관2로 57-7,37.6354766,126.924494,32.52667459897338
183,서울특별시 은평구 진관2로 57-37,37.6371052,126.928169,33.04376890828207
184,서울특별시 은평구 진관2로 111-7,37.6366325,126.9315448,28.201605872148633
185,서울특별시 은평구 진관1로 77-8,37.631385,126.9307251,34.40032862112643
186,서울특별시 은평구 진관1로 55,37.6337285,126.914929,21.658375204063038
187,서울특별시 은평구 진관1로 22,37.635659,126.9148018,19.6332706931381
188,서울특별시 은평구 진관1로 21-9,37.6317031,126.9200529,39.509622792744075
189,서울특별시 은평구 진관1로 21-10,37.6337149,126.9207485,34.975610016116
190,서울특별시 은평구 증산로3길 26-1,37.5818742,126.9029992,47.275607956371815
191,서울특별시 은평구 증산로15길 67-7,37.5897887,126.9050321,48.42653464094081
192,서울특별시 은평구 증산로15길 35-10,37.5895119,126.9077834,59.727136742181884
193,서울특별시 은평구 증산로13길 44-5,37.587619,126.907735,61.01219378945444
194,서울특별시 은평구 응암로30길 16,37.59521591,126.9194381,80.06766001291734
195,서울특별시 은평구 응암로30길 15,37.596311,126.92186,80.60769591626696
196,서울특별시 은평구 응암로 366,37.60383,126.92309,83.87073876274337
197,서울특별시 은평구 응암로 318,37.5992267,126.9222397,87.9627589026843
198,서울특별시 은평구 은평터널로7길 2,37.5927487,126.9063355,49.227143954482806
199,서울특별시 은평구 은평터널로 66,37.5863961,126.9013422,38.133423762498296
200,서울특별시 은평구 은평터널로 65,37.5868487,126.9000124,30.4723871724864
201,서울특별시 은평구 은평터널로 60,37.5854117,126.9002363,35.16110818821669
202,서울특별시 은평구 은평터널로 164,37.5935228,126.9086256,60.00016360969166
203,서울특별시 은평구 은평터널로 163,37.5935011,126.9062236,47.76355731180632
204,서울특별시 은평구 은평터널로 121-6,37.5904992,126.904003,43.511944217687294
205,서울특별시 은평구 은평로 240,37.59962,126.934656,41.94590157273624
206,서울특별시 은평구 은평로 220,37.599269,126.932044,51.266450674844464
207,서울특별시 은평구 연서로48길 12,37.6284338,126.9321409,32.87873213101314
208,서울특별시 은평구 연서로48길 11,37.6312466,126.9308273,34.18962465403221
209,서울특별시 은평구 연서로46길 7,37.63396029,126.9327173,29.210000769955318
210,서울특별시 은평구 연서로44길 7,37.6379708,126.9348048,19.97863346612715
211,서울특별시 은평구 연서로44길 30,37.6434624,126.9396204,8.544682390016774
212,서울특별시 은평구 연서로 487,37.6340464,126.9168896,27.841646563662405
213,서울특별시 은평구 연서로 455,37.634766,126.9167365,22.509950842961718
214,서울특별시 은평구 연서로 149,37.6122422,126.9168122,73.91951321231222
215,서울특별시 은평구 수색로 300,37.584794,126.891951,31.111433891798644
216,서울특별시 은평구 수색로 217,37.5792037,126.898834,45.947548841474415
217,서울특별시 은평구 서오릉로21길 47,37.6121411,126.9063902,39.335567607126976
218,서울특별시 은평구 서오릉로21길 36,37.6129617,126.905638,33.29475575179481
219,서울특별시 은평구 서오릉로 94,37.609112,126.9217449,70.87505417225462
220,서울특별시 은평구 서오릉로 46,37.6051208,126.9246203,78.73292227330023
221,서울특별시 은평구 불광로2길 41,37.6166044,126.9267737,54.912410076426255
222,서울특별시 은평구 불광로2길 33,37.6126016,126.937083,39.82491290238101
223,서울특별시 은평구 불광로2길 16,37.6121197,126.9350558,46.51494552180173
224,서울특별시 은평구 불광로 90,37.6147577,126.9328692,50.111660031407006
225,서울특별시 은평구 불광로 64,37.6130801,126.9324764,55.38421096267117
226,서울특별시 은평구 불광로 170,37.6216983,126.9321696,35.49489743351261
227,서울특별시 은평구 불광로 122-10,37.6181527,126.9357306,33.87634339571455
228,서울특별시 은평구 북한산로 2,37.6432492,126.9220425,33.0606823019594
229,서울특별시 은평구 백련산로2길 19,37.5895014,126.9242045,107.47149183937577
230,서울특별시 은평구 백련산로2길 19,37.5920025,126.9253163,107.47149183937577
231,서울특별시 은평구 백련산로 67,37.59279985,126.9215014,70.96471766380213
232,서울특별시 은평구 백련산로 6,37.5867673,126.9236175,51.41831441908151
233,서울특별시 은평구 백련산로 38,37.5911513,126.9236217,59.74854392288852
