,주소,위도,경도,지하철 평균거리
313,서울특별시 용산구 독서당로 111,37.5369784,127.0094956,2.38517512
314,서울특별시 용산구 녹사평대로 254,37.5407149,126.9888481,2.686727778
315,서울특별시 영등포구 의사당대로 127,37.5202486,126.9263879,3.347299031
316,서울특별시 영등포구 의사당대로 110,37.5204822,126.9239858,3.757862381
317,서울특별시 영등포구 영중로 154,37.5301096,126.9064223,4.642497387
318,서울특별시 영등포구 영중로 145,37.5294615,126.9050948,5.151971173
319,서울특별시 영등포구 영신로57길 5,37.5280856,126.9023584,6.28894799
320,서울특별시 영등포구 영신로55길 6,37.52721748,126.902504,6.414229494
321,서울특별시 영등포구 영신로33길 3,37.519805,126.9003963,6.332113181
322,서울특별시 영등포구 영신로 247,37.5299889,126.9027572,5.665768089
323,서울특별시 영등포구 영신로 237,37.52864616,126.9032499,5.88885728
324,서울특별시 영등포구 영신로 193,37.5254625,126.8997511,7.801388189
325,서울특별시 영등포구 영신로 191,37.5244575,126.900447,7.794372381
326,서울특별시 영등포구 영신로 183,37.5242149,126.9015338,7.304944726
327,서울특별시 영등포구 영등포로64길 11,37.5142647,126.9164533,2.371018556
328,서울특별시 영등포구 영등포로62길 42,37.51657277,126.9129531,3.46258632
329,서울특별시 영등포구 영등포로3길 9,37.5244017,126.882579,3.867409745
330,서울특별시 영등포구 영등포로12길 8,37.5221616,126.8865433,6.08856713
331,서울특별시 영등포구 영등포로12길 7,37.5216885,126.8878466,6.433675485
332,서울특별시 영등포구 영등포로 351,37.5158124,126.9183651,3.145779133
333,서울특별시 영등포구 영등포로 17,37.5237845,126.8835422,3.71798497
334,서울특별시 영등포구 영등포로 106,37.5213197,126.8928072,6.95354893
335,서울특별시 영등포구 여의동로3길 10,37.5182033,126.925912,2.359848985
336,서울특별시 영등포구 여의동로 97,37.5174234,126.927057,1.847766483
337,서울특별시 영등포구 여의동로 213,37.5186433,126.9395985,
338,서울특별시 영등포구 여의동로 143,37.5176189,126.932358,1.192930238
339,서울특별시 영등포구 여의대방로9길 5,37.4972694,126.9144293,3.55906337
340,서울특별시 영등포구 여의대방로61길 19,37.5143228,126.9238594,2.277247302
341,서울특별시 영등포구 여의대방로5길 6,37.4973055,126.9123051,3.451995046
342,서울특별시 영등포구 여의대방로43라길 9,37.508155,126.9193471,1.084312045
343,서울특별시 영등포구 여의대방로35가길 19,37.5011629,126.9151097,4.108182818
344,서울특별시 영등포구 여의대방로 45,37.4963711,126.9112059,3.853798183
345,서울특별시 영등포구 여의대방로 25,37.4945833,126.9094978,2.73978536
346,서울특별시 영등포구 여의대로6길 17,37.5265231,126.9298286,4.093789619
347,서울특별시 영등포구 여의나루로 7,37.520651,126.9207006,3.955442863
348,서울특별시 영등포구 여의나루로 126,37.52594,126.932655,4.076350072
349,서울특별시 영등포구 여의나루로 121,37.5270586,126.9311508,4.094104966
350,서울특별시 영등포구 양평로30길 51,37.5444139,126.8878627,
351,서울특별시 영등포구 양평로30가길 15,37.5422865,126.8898114,
352,서울특별시 영등포구 양평로24길 9,37.5401252,126.8921087,
353,서울특별시 영등포구 양평로23길 18,37.5379791,126.8909429,
354,서울특별시 영등포구 양평로17길 9,37.5357495,126.8962196,1.721657948
355,서울특별시 영등포구 양평로17길 36,37.5343115,126.8934401,3.193408997
356,서울특별시 영등포구 양평로 57,37.5346101,126.8991652,3.157145045
357,서울특별시 영등포구 양산로 177,37.5239709,126.9027167,6.798162728
358,서울특별시 영등포구 신풍로 77,37.50099807,126.9118691,4.106974442
359,서울특별시 영등포구 신길로60나길 9,37.5143305,126.912262,2.41873553
360,서울특별시 영등포구 신길로42가길 34,37.5083649,126.9150295,
361,서울특별시 영등포구 신길로29길 17,37.503061,126.907757,2.663514435
362,서울특별시 영등포구 신길로28길 9,37.503998,126.912117,2.978089651
363,서울특별시 영등포구 신길로28길 25,37.503191,126.913341,3.363975457
364,서울특별시 영등포구 신길로 29,37.494512,126.906944,3.524993401
365,서울특별시 영등포구 신길로 119,37.5029726,126.9096185,3.143585132
366,서울특별시 영등포구 신길로 108,37.5012317,126.9103397,3.850437984
367,서울특별시 영등포구 시흥대로187길 12,37.4930349,126.9081879,2.579760651
368,서울특별시 영등포구 시흥대로173길 13,37.4865541,126.902438,4.55839184
369,서울특별시 영등포구 선유서로9길 5,37.5176163,126.8831609,3.095518013
370,서울특별시 영등포구 선유서로24길 6,37.5234,126.886278,6.141122605
371,서울특별시 영등포구 선유서로21길 30,37.523073,126.882137,4.335666559
372,서울특별시 영등포구 선유서로21길 19,37.5221895,126.883568,4.282084702
373,서울특별시 영등포구 선유서로 6,37.5161019,126.8844422,3.41113327
374,서울특별시 영등포구 선유서로 50,37.520028,126.885457,4.199918275
