,주소,위도,경도,우체국 평균거리
129,서울특별시 종로구 통일로18길 34,37.57600084,126.95949420000001,5.66569057336979
130,서울특별시 종로구 통일로 246-20,37.5751953,126.960306,5.516402899125925
131,서울특별시 종로구 통일로 246-11,37.5757134,126.9584344,7.025151249267523
132,서울특별시 종로구 통일로 230,37.57436687,126.95862939999999,7.880463494845805
133,서울특별시 종로구 창경궁로 265,37.585911100000004,126.99929850000001,6.846483133259705
134,서울특별시 종로구 지봉로5길 7,37.574221,127.01429350000001,7.292152680039065
135,서울특별시 종로구 종로 347,37.5738554,127.01618909999998,7.104685429265803
136,서울특별시 종로구 종로 183,37.571436,126.9983959,10.530325546759324
137,서울특별시 종로구 숭인동길 21,37.57596160000001,127.0211388,8.45434033145072
138,서울특별시 종로구 송월길 99,37.56920542,126.9641524,5.944730657420852
139,서울특별시 종로구 송월길 155,37.5713895,126.961547,6.050170569771068
140,서울특별시 종로구 송월길 130,37.57223484,126.964497,5.6310648003181845
141,서울특별시 종로구 사직로8길 4,37.574403499999995,126.96860079999999,5.580949103459253
142,서울특별시 종로구 사직로8길 34,37.5736451,126.9720155,6.1894742959077105
143,서울특별시 종로구 동망산길 47,37.5809831,127.01593100000001,6.572574587526436
144,서울특별시 종로구 동망산길 19,37.5805173,127.0140195,5.153499955178692
145,서울특별시 종로구 돈화문로11가길 59,37.5751303,126.99005700000001,5.683831112320913
146,서울특별시 종로구 대학로 33,37.57403883,127.00186090000001,8.386070272267796
147,서울특별시 종로구 낙산길 198,37.580611499999996,127.0117627,3.782979860608901
148,서울특별시 종로구 경교장길 35,37.56885493,126.96517109999999,5.4646930505268765
149,서울특별시 은평구 통일로 972,37.63017615,126.9199162,2.5277119374497006
150,서울특별시 은평구 통일로 796,37.6161545,126.92684809999999,1.6023163016088828
151,서울특별시 은평구 통일로 792,37.61558755,126.92690159999998,2.406246577515972
152,서울특별시 은평구 통일로 780,37.6149349,126.92832990000001,2.410260945631435
153,서울특별시 은평구 통일로 661,37.60557539,126.93375159999998,2.287786303086048
154,서울특별시 은평구 통일로 630,37.602835999999996,126.93597040000002,1.3608063878046506
155,서울특별시 은평구 통일로 610,37.60197106,126.93586370000001,1.205702004041244
156,서울특별시 은평구 통일로 590,37.6001439,126.93702090000001,
157,서울특별시 은평구 통일로 586-19,37.6000878,126.937924,
158,서울특별시 은평구 통일로 1080,37.63923349,126.9175305,1.9970239325885346
159,서울특별시 은평구 통일로 1034,37.63528526,126.91759850000001,3.7870670618588176
160,서울특별시 은평구 진흥로 267,37.6115563,126.9385821,2.4907838917562186
161,서울특별시 은평구 진관4로 87,37.6475351,126.9308402,
162,서울특별시 은평구 진관4로 78-7,37.649968799999996,126.93282079999999,
