,주소,위도,경도,편의점 평균거리
261,서울특별시 용산구 한강대로43길 8,37.5321985,126.9697692,91.98348166929395
262,서울특별시 용산구 한강대로 95,37.52881796,126.9666266,79.2765305599109
263,서울특별시 용산구 한강대로 69,37.52704117,126.9648918,65.06665218848669
264,서울특별시 용산구 한강대로 372,37.5516976,126.9732233,146.19010613532726
265,서울특별시 용산구 한강대로 211,37.5371896,126.9729911,92.46026635629502
266,서울특별시 용산구 한강대로 205,37.5364563,126.9733121,83.67055676430228
267,서울특별시 용산구 청파로 213,37.5386273,126.9703386,112.20142313518245
268,서울특별시 용산구 장문로 27,37.5299597,126.9948167,74.78999795782246
269,서울특별시 용산구 장문로 141,37.5287855,127.0038012,62.05400399970616
270,서울특별시 용산구 이촌로88길 30,37.5172456,126.9768136,25.96364965331632
271,서울특별시 용산구 이촌로88길 15,37.5171632,126.9782605,23.105214219920203
272,서울특별시 용산구 이촌로87길 21,37.5200205,126.9779266,30.25130774869102
273,서울특별시 용산구 이촌로81길 14,37.5195296,126.9795589,25.203241794101153
274,서울특별시 용산구 이촌로64길 15,37.5199669,126.9711068,36.33871597933375
275,서울특별시 용산구 이촌로34길 29,37.5233298,126.9575779,21.69634517686969
276,서울특별시 용산구 이촌로2가길 66,37.5273113,126.9537952,28.859599155123764
277,서울특별시 용산구 이촌로2가길 122,37.5256238,126.9543702,23.26174906484142
278,서울특별시 용산구 이촌로29길 21-7,37.52562083,126.9598495,39.03283794120899
279,서울특별시 용산구 이촌로 347,37.5180956,126.9874041,11.633278338299872
280,서울특별시 용산구 이촌로 324-10,37.5170003,126.9819539,16.844135342899616
281,서울특별시 용산구 이촌로 303,37.5185927,126.9808408,21.279676609842504
282,서울특별시 용산구 이촌로 300,37.51785879,126.9802115,21.308442307931422
283,서울특별시 용산구 이촌로 264,37.5184763,126.9760338,32.6547103006086
284,서울특별시 용산구 이촌로 248,37.5182077,126.9747156,33.40151287177095
285,서울특별시 용산구 이촌로 201,37.5213784,126.9735558,38.883210263136625
286,서울특별시 용산구 이촌로 193,37.5216674,126.9692144,42.12379647274836
287,서울특별시 용산구 이촌로 181,37.5224073,126.9702362,44.61096250932176
288,서울특별시 용산구 이촌로 174,37.5211983,126.9665209,34.04414805896997
289,서울특별시 용산구 이촌로 100-8,37.5240081,126.9579794,24.972169650500394
290,서울특별시 용산구 원효로90길 11,37.5401796,126.9699352,112.00988198261501
291,서울특별시 용산구 원효로 40,37.5340827,126.9485824,47.982860761046176
292,서울특별시 용산구 원효로 216,37.5366333,126.9662337,115.92623795194613
293,서울특별시 용산구 서빙고로51길 68-14,37.5230753,126.9917568,29.239563327343117
294,서울특별시 용산구 서빙고로 67,37.5242783,126.9706853,50.55330772743602
295,서울특별시 용산구 서빙고로 35,37.5251636,126.9694981,55.14419492234101
296,서울특별시 용산구 서빙고로 31,37.5261643,126.9698845,59.3866302550921
297,서울특별시 용산구 서빙고로 17,37.526093,126.967663,58.06733056925022
298,서울특별시 용산구 새창로8길 7,37.5397888,126.9564008,84.42338592385259
299,서울특별시 용산구 새창로8길 157,37.5356703,126.9496998,63.84735886512574
300,서울특별시 용산구 새창로 70,37.5380983,126.9554472,82.45006453934575
301,서울특별시 용산구 삼개로 60,37.5351772,126.9467137,51.71659760284917
302,서울특별시 용산구 보광로5길 40,37.5243671,127.0008993,39.49839633845732
303,서울특별시 용산구 보광로 14,37.5258366,127.0020509,47.88943435554621
304,서울특별시 용산구 백범로99길 40,37.5311678,126.9678516,93.84203754360244
305,서울특별시 용산구 백범로90다길 12,37.5360982,126.9691777,111.69668230294567
306,서울특별시 용산구 백범로90길 90,37.53777777,126.96895,118.08370709942359
307,서울특별시 용산구 백범로90길 26,37.5369449,126.9685337,117.18926052102786
