,주소,위도,경도,전통시장 평균거리
2061,서울특별시 강서구 마곡서1로 146,37.56911737,126.82071090000002,1.2815467444945365
2062,서울특별시 강서구 마곡서1로 131,37.568346000000005,126.8184548,1.5713958918715158
2063,서울특별시 강서구 마곡서1로 111-11,37.5658378,126.8174976,2.5472261490889965
2064,서울특별시 강서구 마곡서1로 100,37.56465052,126.8201689,1.0074437195954493
2065,서울특별시 강서구 등촌로53길 39,37.5493953,126.86168049999999,4.212888199367762
2066,서울특별시 강서구 등촌로 163,37.54391029999999,126.8602577,3.4869551850813463
2067,서울특별시 강서구 등촌로 137,37.5421283,126.86265230000001,4.066977965818459
2068,서울특별시 강서구 등촌로 113,37.5404837,126.86335509999999,6.233639005640373
2069,서울특별시 강서구 남부순환로 11,37.560607899999994,126.808144,3.5818145688373972
2070,서울특별시 강서구 금낭화로24가길 28,37.579321,126.8158189,1.0686481269323118
2071,서울특별시 강서구 금낭화로23길 8,37.579625799999995,126.81197009999998,1.0891407739734462
2072,서울특별시 강서구 금낭화로23길 25,37.5786033,126.81083319999999,1.2275510899355577
2073,서울특별시 강서구 금낭화로 287-19,37.5770617,126.81038249999999,1.5259941203713574
2074,서울특별시 강서구 금낭화로 258,37.5770526,126.80842369999999,1.3905963753469464
2075,서울특별시 강서구 금낭화로 167,37.5809671,126.81254229999999,
2076,서울특별시 강서구 공항대로75길 30,37.5476791,126.87512450000001,6.601572729485593
2077,서울특별시 강서구 공항대로75길 17,37.5481893,126.87315249999999,8.202196571911209
2078,서울특별시 강서구 공항대로71길 54,37.54889420000001,126.87448799999999,6.285027819543693
2079,서울특별시 강서구 공항대로71길 31,37.5488684,126.8721249,8.056669030603974
2080,서울특별시 강서구 공항대로65길 21,37.5507699,126.86837109999999,6.357567709212829
2081,서울특별시 강서구 공항대로63길 16,37.55153370000001,126.8668736,5.9167117583130295
2082,서울특별시 강서구 공항대로63길 14,37.5512975,126.86742949999999,6.0706428934063625
2083,서울특별시 강서구 공항대로61길 60,37.553393,126.8672037,4.271375163788006
2084,서울특별시 강서구 공항대로59길 103,37.5559295,126.86225719999999,3.4976690645796364
2085,서울특별시 강서구 공항대로59가길 14,37.5516066,126.8646206,4.800708370601026
2086,서울특별시 강서구 공항대로55길 50,37.5551809,126.86240049999999,3.579820627813716
2087,서울특별시 강서구 공항대로55길 19,37.554268,126.8606406,3.548181666158354
2088,서울특별시 강서구 공항대로48길 12,37.554064399999994,126.85463419999999,1.7739886128359312
2089,서울특별시 강서구 공항대로45길 68-6,37.55789779999999,126.85746370000001,3.6251667831934418
2090,서울특별시 강서구 공항대로45길 24,37.5559066,126.85532759999998,2.3109922459027885
2091,서울특별시 강서구 공항대로43길 104,37.5612871,126.8513767,1.074127217821907
2092,서울특별시 강서구 공항대로42길 54-26,37.5568955,126.843127,
2093,서울특별시 강서구 공항대로39길 74,37.5605195,126.8449392,
2094,서울특별시 강서구 공항대로39길 100,37.562157299999996,126.84584699999999,
2095,서울특별시 강서구 공항대로 543,37.5533338,126.8510294,1.1317367304441623
2096,서울특별시 강서구 공항대로 382,37.5552159,126.8480525,
2097,서울특별시 강서구 공항대로 351-21,37.5598381,126.84701409999998,
2098,서울특별시 강서구 공항대로 124,37.55946773,126.8207295,
2099,서울특별시 강서구 공항대로 103,37.561735,126.818592,1.1788041677641432
2100,서울특별시 강서구 곰달래로 96,37.5301491,126.8434354,11.784985390992139
2101,서울특별시 강서구 개화동로21길 4,37.570141299999996,126.8055327,2.724297066459053
2102,서울특별시 강서구 강서로68길 36,37.5649371,126.84251689999999,
2103,서울특별시 강서구 강서로68길 108,37.5640797,126.8459121,
2104,서울특별시 강서구 강서로56나길 37,37.5616468,126.841109,
2105,서울특별시 강서구 강서로56나길 110,37.5635619,126.843643,
2106,서울특별시 강서구 강서로47길 158,37.5565695,126.8318783,1.06904561838617
2107,서울특별시 강서구 강서로47길 108,37.554396000000004,126.83049070000001,1.2807816502837157
2108,서울특별시 강서구 강서로46길 79,37.5520159,126.83933229999998,2.92830093936515
2109,서울특별시 강서구 강서로45다길 30-27,37.546088399999995,126.83385009999999,5.607737725390513
2110,서울특별시 강서구 강서로17가길 46,37.5355465,126.84378889999999,10.776011204528224
2111,서울특별시 강서구 강서로 532,37.5723889,126.84351909999998,
