,주소,위도,경도,중학교 평균거리
147,서울특별시 종로구 낙산길 198,37.5806115,127.0117627,5.005258111249785
148,서울특별시 종로구 경교장길 35,37.56885493,126.9651711,9.177128647311205
149,서울특별시 은평구 통일로 972,37.63017615,126.9199162,2.799289390578015
150,서울특별시 은평구 통일로 796,37.6161545,126.9268481,2.268882347243024
151,서울특별시 은평구 통일로 792,37.61558755,126.9269016,2.1303847350492706
152,서울특별시 은평구 통일로 780,37.6149349,126.9283299,1.022044509998103
153,서울특별시 은평구 통일로 661,37.60557539,126.9337516,
154,서울특별시 은평구 통일로 630,37.602836,126.9359704,
155,서울특별시 은평구 통일로 610,37.60197106,126.9358637,
156,서울특별시 은평구 통일로 590,37.6001439,126.9370209,1.0817760007658215
157,서울특별시 은평구 통일로 586-19,37.6000878,126.937924,1.0738221827652097
158,서울특별시 은평구 통일로 1080,37.63923349,126.9175305,1.095804307309397
159,서울특별시 은평구 통일로 1034,37.63528526,126.9175985,
160,서울특별시 은평구 진흥로 267,37.6115563,126.9385821,
161,서울특별시 은평구 진관4로 87,37.6475351,126.9308402,1.7262153552325536
162,서울특별시 은평구 진관4로 78-7,37.6499688,126.9328208,1.1225534683186327
163,서울특별시 은평구 진관4로 78-38,37.64391623,126.9313598,2.010774975613697
164,서울특별시 은평구 진관4로 77,37.6482939,126.9293087,1.8225949993806152
165,서울특별시 은평구 진관4로 48-8,37.6322759,126.9262676,4.66779051106866
166,서울특별시 은평구 진관4로 48-51,37.6484546,126.9291039,1.8066952824826543
167,서울특별시 은평구 진관4로 48-50,37.6474864,126.927883,2.461335218291712
168,서울특별시 은평구 진관4로 48-17,37.648085,126.9286741,2.005600308121608
169,서울특별시 은평구 진관4로 47,37.6489181,126.9298087,1.5853390980730746
170,서울특별시 은평구 진관4로 37,37.6466728,126.9265857,3.581783065867258
171,서울특별시 은평구 진관4로 17,37.6415577,126.9227727,2.5182207419692997
172,서울특별시 은평구 진관4로 107,37.6354766,126.924494,3.6018942122762034
173,서울특별시 은평구 진관4로 100,37.6506098,126.9355523,
174,서울특별시 은평구 진관3로 77,37.6438336,126.9238442,5.802220383276209
175,서울특별시 은평구 진관3로 70,37.6411039,126.9219731,2.0756556227348084
176,서울특별시 은평구 진관3로 67,37.6381577,126.9192866,1.1312533309909374
177,서울특별시 은평구 진관3로 15-45,37.6425395,126.9171292,1.2808132087537003
178,서울특별시 은평구 진관3로 15-35,37.6449549,126.9236501,5.031103482007104
179,서울특별시 은평구 진관2로 90,37.6333845,126.9272246,4.057492310054289
180,서울특별시 은평구 진관2로 77,37.6345812,126.9276171,3.5213627551580937
181,서울특별시 은평구 진관2로 60,37.6318934,126.9198476,2.362191431821824
182,서울특별시 은평구 진관2로 57-7,37.6354766,126.924494,3.6018942122762034
183,서울특별시 은평구 진관2로 57-37,37.6371052,126.928169,2.98434278830161
184,서울특별시 은평구 진관2로 111-7,37.6366325,126.9315448,2.8564505098316686
185,서울특별시 은평구 진관1로 77-8,37.631385,126.9307251,5.282451745622705
186,서울특별시 은평구 진관1로 55,37.6337285,126.914929,
187,서울특별시 은평구 진관1로 22,37.635659,126.9148018,
188,서울특별시 은평구 진관1로 21-9,37.6317031,126.9200529,3.4193350821850292
189,서울특별시 은평구 진관1로 21-10,37.6337149,126.9207485,2.3332490623538997
190,서울특별시 은평구 증산로3길 26-1,37.5818742,126.9029992,5.390609587254545
191,서울특별시 은평구 증산로15길 67-7,37.5897887,126.9050321,9.295850337909705
192,서울특별시 은평구 증산로15길 35-10,37.5895119,126.9077834,9.189023025944092
193,서울특별시 은평구 증산로13길 44-5,37.587619,126.907735,9.45837020682387
