번호,주소,시군구,경도,위도,소방서 평균거리,초등학교 평균거리,우체국 평균거리,지하철 평균거리,전통시장 평균거리,편의점 평균거리,유치원 평균거리,중학교 평균거리,어린이집 평균거리
78,서울특별시 중랑구 동일로 476,중랑구,127.0806504,37.572881,,9.603295683,1.908856102,1.732295467,5.325993026,79.30080111,16.62040043,3.130838669,90.20340158
79,서울특별시 중랑구 답십리로77길 139,중랑구,127.0806751,37.57760127,,7.371466681,2.33655238,2.743521122,6.508810907,88.32903355,10.68207967,3.673960429,71.76469797
80,서울특별시 중랑구 답십리로75길 73,중랑구,127.0804639,37.5754912,,7.712646292,2.535596023,2.632955643,5.696693837,82.67429608,12.26072361,3.740481536,82.5977194
81,서울특별시 중랑구 공릉로2라길 4,중랑구,127.0817861,37.612484,,7.141382817,,6.3649847,,86.57615512,9.948316523,5.718029014,66.60480384
82,서울특별시 중랑구 공릉로2라길 15,중랑구,127.0810011,37.6128576,,6.192561986,,5.840240979,,88.56074134,9.965909817,5.375283312,68.92558682
83,서울특별시 중랑구 공릉로2나길 46,중랑구,127.0800228,37.6141168,,6.243899202,,6.722723718,,96.90090722,7.671718821,5.634768855,72.66371658
84,서울특별시 중랑구 공릉로2길 39,중랑구,127.0800529,37.6127305,,6.223641222,,6.095578998,,93.82376827,9.082370731,5.001489582,69.49551886
85,서울특별시 중랑구 공릉로18길 59,중랑구,127.0824499,37.6189128,,6.723034988,,7.158754214,1.56962579,99.16971319,13.80848672,6.87690353,88.49170767
86,서울특별시 중랑구 공릉로13길 30,중랑구,127.0775863,37.6168885,,6.442429502,1.142753939,8.680520271,1.497480483,115.903243,11.30619899,4.268061036,95.76053217
87,서울특별시 중랑구 겸재로30길 42,중랑구,127.0841438,37.5868369,,7.39713602,,3.576654197,9.534612909,137.1559715,15.04331617,1.048373352,67.294664
88,서울특별시 중랑구 겸재로29길 27,중랑구,127.0849955,37.5892249,,8.209656761,1.287663306,4.360382782,10.098297,154.4193424,14.78937984,1.007091941,70.37025235
89,서울특별시 중구 퇴계로90길 74,중구,127.0227976,37.5613365,,27.10156505,8.332138859,19.90425973,5.298834934,258.7821392,23.87680508,8.569756058,209.4187532
90,서울특별시 중구 퇴계로90길 74,중구,127.0232537,37.5614662,,27.10156505,8.332138859,19.90425973,5.298834934,258.7821392,23.87680508,8.569756058,209.4187532
91,서울특별시 중구 퇴계로75길 7,중구,127.0154382,37.56576221,,8.420630881,5.400110803,18.10385179,32.79770501,191.5073174,6.488909449,3.033540814,45.98082533
92,서울특별시 중구 퇴계로49길 14,중구,127.0000226,37.56339027,1.25941843,5.192529322,9.570963174,15.71394013,26.32931441,156.7093232,4.247598263,2.769603546,14.28794802
93,서울특별시 중구 퇴계로 72,중구,126.9806109,37.5591878,,5.913045592,7.490956474,10.3361172,25.35971249,186.2391048,7.451996857,,28.54741428
94,서울특별시 중구 퇴계로 447,중구,127.0214788,37.5664017,,7.976520441,5.713529981,10.30224886,15.24555898,167.9564119,8.548432184,2.196867674,76.9839865
